10ba2017121423130_4184996623265619|不抱太大的希望，尽最大的努力，该干什么就干什么。 ​​​​
57872017121523530_4185369181821910|#冰心冰心大冰心#  今天的这一把帅哭了！跟老何的配合还有默契！悄咪咪的吼一句冰何世纪，无所畏惧！ ​​​​
b24d2017121516070_4185251678910905|道系没跑了   那些妖魔鬼怪离我远点好吧
d9732017121423290_4185000570173614|转发微博
435b2017121523370_4185365088308725|//@梨园西池水:如果人满了，那我也可以伴舞//@粽粽粽粽粽粽粽:大家都//@M大王叫我来巡山:还有位置吗//@然后下面就没了:还差人吗//@人字拖大魔王:当然干啊！//@江南大野花:……今晚便可到岗//@尸姐:我不仅干，还要谢谢老板赏识//@捌捌陆88: 跳舞人要是满了。五十万我就可以当旁边那棵松。
e4272017121500090_4185010670335450|转发微博
33392017121523070_4185357500903238|转发微博
732c2017121517230_4185270906250795|转发微博
29012017121512350_4185198452575070|转发微博
8c9f2017121522470_4185352409132492|#超级话题# 今天做的小礼物 ​​​​
261a2017121518470_4185291994763843|转发微博
10aa2017121506100_4185101523081765|转发微博
08362017121511050_4185175921099717|//@芒果的化妆间:天呐！！发年终奖啦！！2018人，20000现金和IPhoneX！！从我这里转发再加抽520元，平安夜12.24号开~@微博抽奖平台 ¡查看图片
47ab2017121517170_4185269386964059|转发微博
49662017121423050_4184994593346241|哈哈哈哈哈哈哈哈哈//@全国帅逼代表:捡回来哈哈哈哈哈哈//@种白菜的白素贞: 哈哈哈哈哈哈//@打dota从不暴走://@_一只虾饺alter:哈哈哈哈哈哈哈哈哈哈哈哈哈//@殷遇-:这一看就是机翻吧哈哈哈哈哈哈哈哈哈//@白鳥_寝不足:我们去飞机场把你捡回来哈哈哈哈哈哈哈
ae562017121421080_4184965216396775|我的妈呀！这一组照片我真的非常非常喜欢了！！！真的好美好美！#周冬雨# #周冬雨奇门遁甲# //@网瘾少女的追剧日常:这一组真的好美好有故事感！瞬间脑补出一对同门师姐妹为争夺掌门之位反目成仇的剧情！
1d002017121501130_4185026800740905|发烧🤒️……中 L褚宝Queen的秒拍视频 ​​​​
17ad300_fd6c52b11a2a4af6a6e081e06145054c|" 都说老人上了 60 岁以后，不好买保险，没想到这次赶上了，还是政府买单。" 城关区西苑小区 65 岁的高大妈激动地说。去年，她和老姐妹晨练时，在路边一步踏空就摔倒了。" 花了不少钱，都是孩子出的。" 高大妈说，如今自己也有了意外伤害保险，再不用担心伤了筋骨又空了口袋。近日，记者从兰州市老年人意外伤害保险进展情况通报会上了解到，从今年 6 月 20 日开始，兰州市政府为全市 60 岁以上老人统一购买意外伤害险这一惠民项目正式启动后，到目前为止，已办结案件 187 件，赔付 95.46 万元，单笔最高赔付 3 万元。十九大报告中提出了 " 积极应对人口老龄化，构建养老、孝老、敬老政策体系和社会环境，推进医养结合，加快老龄事业和产业发展 " 的要求，这项惠民项目更是将十九大精神送到了老年人的家门口。 兰州老年人意外伤害保险落地实施 2017 年初，兰州市民政局本着贯彻国家四部委关于开展老年人意外伤害保险工作的指导意见，落实甘肃省四厅局开展甘肃省老年人意外伤害保险工作的精神，委托中汇国际保险经纪甘肃分公司协助开展老年人意外伤害保险工作。8 月 7 日，兰州市召开居家和社区养老服务改革试点暨老年人意外伤害保险签约和培训会议，全市范围内具有兰州户籍且年满 60 周岁及以上 63.83 万老年人，由政府统一购买意外伤害保险，保险期间意外死亡、残疾、住院均可取得赔付和补贴，这标志着兰州市老年人意外伤害保险工作将进入正式实施阶段。 据中汇国际保险经纪甘肃分公司总经理周富明介绍，兰州市户籍 60 岁以上老年人意外伤害保险工作落地实施后，首先作了大量的宣传，在群众政策知晓率上下足功夫，实现从面到线到点的有序推动。最终宣传目标要实现 " 家喻户晓，人人皆知 "；其次，安排好保险服务工作，把兰州市 60 岁以上老年人意外伤害保险工作办成政府的惠民工程，成为政府改善民生保障的有力支撑，这一工程的实施要切实缓解社会保障压力，提高老年人抗风险能力，提升老年人幸福指数，降低和减缓老年人意外伤害的矛盾纠纷，维护社会和谐稳定。让这一工程真实成为老年人的贴心工程；本着政府公共政策安排的精准性要求，结合保险服务社会大局的国家要求，在兰州市户籍 60 岁以上老年人意外伤害保险工作开展的基础上，也要合理妥善解决在兰州市居住非兰州市户籍 60 岁以上老年人意外伤害风险转移的迫切需求；既要很好完成政府公共资金保基础的惠民项目又要兼顾风险转移高保障的差异化需求；即要筑牢，夯实政府的保基本，又要发挥政府引导市场主导补短版。 民政局通过不记名方式统一投保 兰州市民政局相关负责人介绍，目前，兰州市 60 岁以上老年人口达 63.83 万人，占人口总数的 19.44%，高于全国、全省老龄化水平，人口老龄化形势严峻。 为了加快推进养老服务业发展，做好全国居家和社区养老服务，试行老年人意外伤害保险项目，是由政府补贴群众，商业保险公司承办的模式，对全市范围内具有兰州户籍且年满 60 周岁及以上的老年人购买保险，保险期限为 1 年，兰州市民政局通过不记名的方式每人统一投保 10 元，以后每年民政局参照当年的考评结果调整下一年的承保份额。老年人购买意外伤害保险承保方式为比例共保，中国人民财产保险股份有限公司甘肃省分公司为主承保公司，中国太平洋财产保险股份有限公司甘肃分公司和中华联合财产保险股份有限公司甘肃分公司为共保公司。主承保保险公司承保比例为 70%，共保公司中国太平洋财产保险股份有限公司甘肃分公司承保比例为 20%，共保公司中华联合财产保险股份有限公司甘肃分公司承保比例为 10%。 据了解，投保时间从 2017 年 6 月 20 日零时起到 2018 年 6 月 19 日 24 时止。届时，投保老年人发生意外时导致死亡的可得到最高赔付 30000 元；意外伤害伤残保险金伤残按评残等级可得到最高赔付 30000 元；意外伤害医疗费用补助免赔额 100 元 / 次，给付比例 100%，最高赔付 10000 元；意外伤害住院（照护）补贴每天给付 50 元，累计最高给付 180 天 9000 元；意外伤害紧急救援的救护车费用每人每次发生给付 500 元；意外伤害事故的发生，在兰州市辖区内二级以上（含二级）或保险人认可的医疗机构就诊、治疗所产生的门急诊费用每人每次发生给付 500 元。 中国人民财产保险股份有限公司甘肃省分公司意外健康险总经理陈元生介绍，凡是参加兰州市城乡居民大病保险（包含城镇居民医保、新农合参保（合））的老年人，保险公司承保承诺发生无责第三方意外事故导致被保险人身故的，除统一购买意外伤害保险保障之外，依据城乡居民大病报销政策，可再获得 2 万元赔偿，意外伤害身故总保额扩大至 5 万元，意外住院治疗保险金额可提高至 3 万元。 人保财险提供 " 保障 +" 服务计划 陈元生介绍，人保财险公司勇担央企责任，本着民生服务的宗旨，优化保险服务项目，对兰州市广大老年人提供 " 保障 +" 服务计划。对产生的救护车费用、门急诊费用直接扩展为保险责任；另外，对凡参保参合的兰州市老年人，在保险期间内、若意外身故，保险金额可提高至 5 万元；意外住院治疗保险金额可提高至 3 万元。为使老年人最大限度受益，人保财险公司启动了人保员工关爱基金，免费为全市所有精准扶贫户、低保户、特困户（城市 " 三无 "，农村 " 五保 "）老年人办理家庭财产保险，每户保险金额 5000 元 / 份 / 户。 记者随机采访了高大妈的儿子，他说：" 上次老太太发生意外，就特别心疼医药费，有好一阵子都闷闷不乐。我们当时寻思着给老人买份保险，可跑了好些地方都不愿意卖给老人保险。这次投保的老年人意外伤害险很好，给老人添了一份保障和安慰。" " 完善社会保障体系是全社会的课题，我们只能从自身考虑，填补意外保险一直以来在老年人群方面的缺失，推出老年人意外伤害保险来帮助老年人规避风险。" 老龄委一位工作人员认为，同样是摔倒带来的撞击，对年轻人来说没什么，可对老年人就是伤筋动骨，而且还会面临数目不小的医药费，" 有了老年人意外伤害保险，不仅能减轻老人经济负担，更从心理上让老人多一份安全感。 来源：兰州日报 版权属于原作者，如有侵权请联系我们删除 猜你喜欢
68e3300_b76c36f53c0c54a960861dad017ed1c8|点击上方蓝字免费订阅！选择置顶公众号 关注后回复标题前的数字序号，可快速查看下列热门文章 【1】 你的手指长度，决定了你的性格 【2】你的农历生日与人生的奇妙关系 【3】 真相，有时候真的不重要 【4】为什么男人是七宝之身，女人是五漏之体？ 【5】 六类旺夫女人，男人请珍惜 【6】手机尾号暴露了你的年龄 每个男人结过婚都会有一定的变化，有的是变好了，更温柔了，但是大部分女人的心声确是，男人结过婚就变得没婚前好了，那更别提生过娃了。生完孩子他该有的都有了，而女人呢，有了孩子以后，体质变差了，皮肤长斑了，身材也变样了，所以很多女人就开始抱怨自己的男人这里不好那里不好，但是所有的好与不好都是从对比中产生的，有时候不妨从另一个角度去判断一下，因为生完孩子才是最能判断你是不是嫁了一个好男人的最佳时期，如果生完孩子，你的男人能做到三件以上，你就是一个有福的女人 第一，坐月子对你特别照顾：女人坐月子的那个月是最脆弱的时候，稍微一点的照顾不周就有可能留下月子病，所以这个时候的男人显得就特别重要了，如果这个时候男人总是想办法逗你开心，而且变成一个老妈子一样唠叨，叮嘱你不要少碰水，少玩手机等等那么这个男人可以说是非常细心了 第二、熟练的冲奶粉：因为孩子生下来第一个月大家都知道特别难照顾，吃完拉，拉完再吃，如果这个时候男人能熟练的掌握冲奶粉的水温，和分量，那么这个男人肯定对你也是照顾有加的，很有爱，很善良，所以以后你也不会有什么苦日子 第三、孩子闹夜自己起来哄：有过孩子的应该都知道，孩子闹夜是一个非常头疼的事，大人几乎是没时间睡觉的，如果这个时候你的男人还记得让你休息，他自己起床去哄孩子，那么你觉得是幸福的 第四、宝宝生病从来不责问你：有的男人，孩子生病的时候就会责怪老婆是怎么带孩子的，这种男人就特别过分，谁会愿意让自己的孩子生病呢，如果这个时候，男人不会把责任推到你头上，还会安慰你，那你的男人一定是一个好老公 第五、有时间就带你去过二人世界：因为有了孩子，牵绊就多了，很少有时间夫妻两个人能单独在一块，如果你们有了孩子，你的男人还会抽时间带你出去玩，去过你们的二人世界，那么以后你的日子一定有很多乐趣 第六、下班回家会主动为你分担家务：大家都知道，有了孩子，女人的生活又多了一件事那就是照顾孩子，如果这时候你的男人下班回家，主动去揽下家务或者主动去带孩子，那么就能减轻你很多负担，也会让你歇歇不用那么累 如果你的男人能做到三条以上，那么你肯定是一个有福的女人，所以女人要知足常乐哦！
9f6e300_0d053c1045619769c0ac106326c853d8|
e2dd2017121600130_4185374173665166|为了让红花会_贝贝获得热搜称号：押韵狂魔，我在 #热搜疯狂打call# 中为红花会_贝贝倾情投入225 call值！离成功还差14361348call值，快来与我并肩作战！ >>> O网页链接 ​​​​
93b02017121423460_4185005003480670|转发微博
05eb2017121523420_4185366321593464|天呐为什么人可以长得这么帅
6fb92017121600010_4185371115709927|第一次去gay吧 惨不忍睹 很多油腻的gay 2北京·目的地 L春氺的秒拍视频 ​​​​
95fb2017121603430_4185426963302538|喜欢轩灵珠宝的配色，很中国风
52b82017121522190_4185345358167124|@蓝胖子挖白菜  @嘎啦嘎啦_
53b22017121423560_4185007523962390|我从来不觉得有人能陪我走完这一生  这个年纪的感情真的很脆弱 好像纸一样 一刮就跑一揉就皱一扯就破 无论是谁我都感激你在我生命里 我也没那么成熟看透这个又看清那个  我以为成长路上不会有很多别的东西 我不需要那种隔了很久的问候 也知道拥有就是失去的开始. ​​​​
4aa42017121500590_4185023173043082|加班到感冒咳嗽流鼻血口腔溃疡，终于要把这本九百页的稿子送进印厂了，明天就去给甲方要我的血汗钱 亲老林一口睡觉觉 ​​​​
7cab2017121516280_4185257147785436|转发微博
81b22017121505440_4185094955006148|[doge]
c1fe2017121521310_4185333312157241|青春只有在为祖国和人民的真诚奉献中才能更加绚丽多彩，人生只有融入国家和民族的伟大事业才能闪闪发光 ​​​​
85622017121523000_4185355798011387|转发微博
ad012017121522550_4185354435375201|转发微博
238f2017121522590_4185355585024102|还是有姐好，生日自己都不忘记，但老姐还记得！！！ ​​​​
9bc12017121523010_4185355937220285|R人品啊 @一唯兴不变77547
59592017121522490_4185352862887056|马了
de3d2017121418070_4184919566091553|转发微博
60542017121519460_4185306968171600|大猫，你们的拥抱好有力度，我无福体验，好羡慕呀@妈谁谁
57d92017121421290_4184970458980397|世界那么大我想出去看看可是我没有时间 2唐山·兴城镇 ​​​​
2e4c2017121511000_4185174641951587|家暴了家暴了哈哈哈
54b62017121516480_4185262042781599|慕承和💕  @惠茹xixiyiyang 看到这些名字我觉得我的中学回忆全都从脑海里挖了出来 我很有感触 中一到中五...
79442017121519260_4185301872507070|转发微博
35912017121511190_4185179327385798|啊，让人想犯罪
6cf02017121418540_4184931401489606|为了让胡一天啊获得热搜称号：新晋演员，我在 #热搜疯狂打call# 中为胡一天啊倾情投入186 call值！离成功还差19218111call值，快来与我并肩作战！ >>> O网页链接 ​​​​
34b02017121503520_4185066768530784|总是专牛角尖说人家的不是；反正世界上胖子那么多！哎……受不了就继续在胖子行列里混、怎么思想就那么偏激呢！ ​​​​
492a2017121503250_4185060154196957|不要再震了 让我们睡觉吧。
274a2017121423060_4184994870531608|得到的时候你在毁失去的时候你在悔。 ​​​​
60dd2017121522180_4185345144198748|转发微博
8ce72017121417310_4184910669592750|现在人的心意和金钱已经形成对比了，并不是说几块钱的贺卡和几万块钱的包价值同等，而是年纪越大，越没有心意可言了。给你塞个几千块钱的手表，几万块钱的包，也许节日已经过去一段时间了，但钱花得多，也算是个心意了，你得高高兴兴拍张照发个朋友圈。可偏偏我不是。        我记得我收到第一份感觉很合适的礼物，是我回国后的第一次生日，朋友在屈臣氏拎了盒施华蔻套装丢给我，说我发质差，适合我。那天有送手表的，有送玩偶的，有送首饰的，但是过后我都不记得丢哪去了，可我把洗发水用完了，真的还不错，发质也真的变好了。真的也就一百块钱的东西，我真的觉得很合适我，我需要，你给我，多好。        亦或者纪念日，你提前悄摸吧唧地给我买束花，买俩气球，做个歪七扭八的DIY蛋糕，或者在天台摆上几个蜡烛，写几张小卡片，虽然我可能提前半个月就察觉到了你的小动作，但我依然觉得感动不已。        或者我需要，或者我察觉到用心，都会令我很开心。也许我收到你给我寄来我心心念念的口红，亦或者想买了很久又舍不得买的项链，也总比你强加给我我不需要的心意要强得多了。        其实最怕的不过是我喜欢吃西瓜，你却总是买几个梨来搪塞我罢了。
30432017121417430_4184913559426269|转发微博
dd0a2017121522170_4185344897246154|现在还不比当初下岗潮，身上更多了债务，不是生活紧紧就过得去的
e8942017121518070_4185281915814201|嗯，没错，既然选择了这条路就别回头。 ​​​​
b4f72017121420560_4184962150352296|风成子，远方翩翩短相随；甘冽泉水，沽名落雁何处归。 ​​​​
69fc2017121509010_4185144561031675|职业价值观的特性决定人们不会只有唯一的职业价值观，人性的本能也会驱使人们希望什么都能得到，但在现实生活中“鱼和熊掌是不可兼得的”。然而我们在职业选择中，人们却是不能理性去对待。 ​​​​
085d2017121520400_4185320536465049|置顶 1.点击链接→打开淘宝→领卷→购买自动用卷 2.如图4→将链接复制发给我→可以找是否有隐藏卷 3.快扫一扫进群吧，不多花一分钱，来吧~ 2大连 ​​​​
4bd62017121517560_4185279332454387|#淘宝优惠卷##淘宝# 铅笔俱乐部童装，面料柔软，穿着漂亮，款式新颖，亲肤舒适，潮流百搭，健康环保 ---【点击领卷→】O网页链接 2大连 ​​​​
905f2017121418040_4184918848160373|#淘宝优惠卷##淘宝# 良品铺子礼遇每日坚果果干干果礼盒，好零食挑良品，杨紫倾情代言，礼遇大礼盒诚意满满，开心果夏威夷果松仁11袋热销坚果，元旦送礼自己品尝都是绝佳选择~ ---【点击领卷→】O网页链接 2大连 ​​​​
d4742017121419320_4184941103178728|//@美食菜谱天天推:瘦腿！
9e4f2017121509080_4185146342812345|突然诈尸
cd552017121517310_4185273036789436|转发微博
e1032017121501530_4185036783300348|@祝愿巡绘
e1652017121523380_4185365319615675|转发微博
87582017121423580_4185007855759339|清关 清关 ​​​​
daea2017121418050_4184919117284415|转发微博
438d2017121421450_4184974460702117|冬天 一个令人迟钝的季节 ........... ​​​​
c0ae2017121514290_4185227175832453|//@一句语录签名:每一句都说到心坎里推荐@扣人心弦的话
e1a42017121421490_4184975403855468|啊啊啊啊啊啊啊啊
59a42017121421510_4184976079227363|转发微博
55a82017121517320_4185273266650899|#圣诞听啥你索了算# 圣诞夜BGM歌单有奖征集，限量珍藏专辑送送送！只要留言+转发大声说出你最喜欢的圣诞歌曲，索大将会从参与活动的小伙伴中选出8位幸运儿（每人1张）送出圣诞主题专辑大礼，奖品包括超经典的Mariah Carey《Merry Christmas》（每年一到圣诞就进榜，你懂的）、群星献唱的《30 Stars: Christmas》等等专辑！之后索大还会精选大家的最爱圣诞歌，发布圣诞歌单，伴大家度过温馨圣诞~
fa482017121422210_4184983473535305|:) 实力翻白眼 #你与阳光# ​​​​
b4dd2017121420170_4184952234856738|转发微博
dcdd2017121607060_4185478155129618|#小米新品#支持精彩活动，赶紧奔走相告，大力宣传，期待小编的厚爱，期待好运气！
8f102017121514560_4185233818935273|马克
30532017121422150_4184981955915006|那，不要期待，因为一定会很失望！ ​​​​
6d322017121423070_4184995201824551|18:16开始，5个小时1325:243这样的成绩12.27能够顺利通过吗 ​​​​
a9832017121510540_4185173136240664|转发微博
75012017121422170_4184982580477250|是我年纪大了还是今年冬天冷的有点过分 我特么开始承受不住这个冷了 我拿让我黑两度的条件 换 升温吧 真心受不了了 ​​​​
02f22017121507290_4185121424574225|发布了头条文章：《迪丽热巴登双开年封面 同时演绎性感与甜美》 °迪丽热巴登双开年封面 同时演绎性感与甜美 ​​​​
239b2017121516230_4185255935929119|转发微博
d4cd2017121509180_4185148830161323|#西瓜jun# Day10:最骄傲的时候 最骄傲的时候。。。大概是给朋友听瓜瓜的歌，她惊喜的说这个人唱歌好好听，然后回家把瓜瓜的歌都听了一遍的时候吧。 我瓜这么优秀，是该为众人所知的啊。  ​​​ 2成都·四川大学(江安校区) ​​​​
8e322017121523450_4185366967430355|转发微博
d4142017121516550_4185263846465538|#为韩国冬季旅行加油助威#如此低投入高回报的有奖转发活动怎可少了我！这不科学！拼人品的时候到了 M韩国，冬天更有魅力
95542017121507500_4185126835179274|旅游
954a2017121600520_4185383824362567|转发微博
ee332017121600000_4185370898041996|平凡的生活编织纯真的笑容，追不回的时光覆上深深的思念。带着曾经的心去赶未来的路，让这一切都安好。@甘肃农业大学草业学院团委  @甘肃农业大学草业学院学生会  @草业学院学生会办公室 ​​​​
24d82017121508400_4185139426276752|经验往往被人们当成愚蠢与悲伤的同义语。其实大可不必。假如我愿意井确实从经验中学习，那么今天的教训就会为明天的美好生活打下基础。@甘肃农业大学草业学院团委 @草业学院团委办公室 @草业学院学生会学习部 ​​​​
928f2017121508110_4185132036905718|做一个努力的人好处在于，人人见了你都会想帮你。但如果你自己不先做出一点努力的样子，人家想拉你一把，都不知你的手在哪里。@甘肃农业大学草业学院团委 @草业学院团委办公室 @草业学院学生会学习部 ​​​​
42092017121515470_4185246868593115|冬季干燥季节，孩子不喜欢喝水？No，那是你打开方式没对[嘿哈][嘿哈][嘿哈]来杯百香果泡水，纯天然的饮料，就不信宝宝不喜欢，酸甜可口，广西百香果，品质稳定，回口比较甜哦 自助下单~ O网页链接 2昆明·农业大学 ​​​​
d1682017121511030_4185175258088795|火龙果——水果中的清道夫—全程有机种植，不打农药 ♻️，含有丰富的花青素 ！美容、养颜 、抗癌 、还能延缓衰老，口感是非常甜的～ 自助下单~ O网页链接 2昆明·农业大学 ​​​​
ab942017121606560_4185475537594570|早安～ 2017.12.16 ​​​​
07b32017121519250_4185301557688065|工作室厉害了，最近好多图啊，真棒#印小天召存信# #印小天#
8bec2017121521500_4185338068705473|超爱端午妞妞
ec242017121605480_4185458294543129|在宿舍宅成了一个废物，舍友说我这叫醉生梦死，无力反驳等上完课就要立马从学校逃离出去，再不走就要在仙林变残废了【我只是来解释一下为什么11月没有投稿】 ​​​​
c5f92017121419570_4184947173000493|@灵魂爱人_ac
53942017121511090_4185176907664865|厉害了//@亖罒w罒亖://@小无芽://@七七七濑遥的青花鱼://@安琴的小肥猫QwQ:天啊!买的时候不用纠结了
b4c12017121518440_4185291247672586|有人能解释一下这突然长粉吗 还有 大家不要给我私信了 不回 也不用给叔叔看你恶心的大宝贝  很幽默 ​​​​
cb802017121600350_4185379542681197|: ​​​​
bd752017121520010_4185310726407626|哦，牛批。
eb7c2017121514200_4185224772470428|@梨子买买买  大衣，今天穿的像个影子 ​​​​
a5162017121515110_4185237589928801|视频 O网页链接 ​​​​
6f4a2017121520180_4185314865811134|转发微博
88152017121520220_4185315944648873|困啊困啊 ​​​​
10a62017121505590_4185098825856872|转发微博
6aec2017121508590_4185144086256050|转发微博
d2d32017121508560_4185143319483957|转发微博
38962017121423320_4185001513865118|转发微博
b55a2017121518080_4185282327206102|想啃苹果
8fb02017121604130_4185434609704165|转发微博
78472017121518060_4185281797873698|哈哈哈哈哈//@夏树: 哈哈哈哈哈哈哈哈哈哈别！//@夏目家的小诗哥: 不带这么玩梗的我脑海里都出现声音了//@and_becoming_吃仔: 哈哈哈//@小肚腩的逆袭_想要腹肌:哈哈哈哈//@味精跳海吗:哈哈哈哈！//@凹凸泯:哈哈
653c2017121500050_4185009595680264|不知道说点什么好！ ​​​​
1cf82017121417490_4184914968970351|转发微博
110f2017121513560_4185218770325442|实在不想成为那么糟糕的人 ​​​​
77bf2017121511390_4185184410283361|哇！我才要吹我夜好嘛！！！超开心又摸到了夜夜！！！你为什么取了假毛丝毫没有影响真毛的样子都这么美貌嘛
2c792017121423590_4185008207617996|这大雪天的，不画点妆可怎么出门哦#扎起蓬松的马尾辫 化一个俏皮的妆#扎起蓬松的马尾辫 化一个俏皮的妆# ​​​​
21b92017121520040_4185311326132761|日你妈笑死我哈哈哈哈
66e02017121523430_4185366510424632|转发微博
087c2017121523390_4185365546528138|转发微博
916d2017121523360_4185364875419041|转发微博
e2c72017121508040_4185130237367339|转发微博
de072017121419200_4184937949626342|转发微博
ef032017121422110_4184980948968183|十二点看完结局，躺在床上想到这两段随笔。今早写下，还把我积累多年的句子用上了。那么陈小希和江辰，再见啦。#致我们单纯的小美好#  全集资源>>>O网页链接 ​​​​
86612017121604260_4185437679477043|睡觉 ​​​​
42712017121423250_4184999664477120|新歌 真好听
68452017121522590_4185355592586007|@预备役熊了个猫
ddc52017121523050_4185357010063736|转发微博
57cd2017121509470_4185156246437226|如何避免成为一个油腻的中年男人：1，不要成为一个胖子；2，不要停止学习；3，不要呆着不动；4，不要当众谈性；5，不要追忆从前；6，不要教育晚辈；7，不要给别人添麻烦；8，不要停止购物；9，不要脏兮兮；10，不要鄙视和年龄无关的人类习惯 ​​​​
e3642017121419320_4184941099369934|必须记录一下今天吃多了的事情，上班之前不能再这么放纵自己了。假装立个flag ​​​​
af982017121516300_4185257697735597|好梦幻的婚纱照 是不是要结婚了？恭喜哦我糖
8f48300_4c7e2300355fcdd19f442ca6a89fe953|喂...看完了，转到朋友圈再走如何 关注我们查看更多视频
87d3300_c969449d4260493f7ae44287b5a2298f|点击↓↓原文   点击上方“蓝色字”↑↑关注我看劲爆视频
e75c300_80b925da98f65e07c27e94ed3fa1ad12|点击↓↓原文   点击上方“蓝色字”↑↑关注我看劲爆视频
10d12017121506560_4185113254265363|我们勒学校厕所都是！不仅要自己不说。还听得见一边拉屎一边吆喝着！卧槽！
95c12017121600530_4185384105383781|转发微博
d3932017121515020_4185235489135112|转发微博
834a2017121510030_4185160314189441|转发微博
e8b42017121500140_4185012024702946|#你好旧时光#【学步车的危害】宝宝到了学走路的时候，很多妈妈会选择让宝宝待在学步车里，殊不知学步车其实危害大。学步车的危害：1、减少宝宝锻炼的机会；2、影响宝宝的腿型与走姿；3、加大了意外伤害的概率； 4、限制宝宝的自由活动，剥夺了宝宝学习的机会，影响宝宝智力发育。 ​​​​
2c732017121500140_4185011928516544|#阳光易手车 阳光活动# @上汽大众-阳光易手车
e0332017121500130_4185011806552653|要想生活过得去，你懂的
18f22017121601250_4185392343430089|支噗村人生最喜欢的歌手唱的我最喜欢的歌K七里香秋刀鱼的滋味，猫跟你都想了解。 ​​​​
02762017121509420_4185154831924533|#跨年告白季# 2017圆满的一年，迎来了我们的小天使！让我感受到满足、幸福！2018我希望爸爸妈妈公公婆婆，身体健康！老公工作顺利！加薪升职！宝宝健康成长！我能顺利开启我事业的第二春！@番茄Fashion  M跨年告白赢I DO钻戒 ​​​​
09e92017121509300_4185151837814787|#蚂蜂窝旅游攻略#如此低投入高回报的有奖转发活动怎可少了我！这不科学！拼人品的时候到了 M温暖你的旅行
90ec2017121509270_4185151078097448|#记住这一年#如此低投入高回报的有奖转发活动怎可少了我！这不科学！拼人品的时候到了 M百度沸点搜索榜单即将揭晓，转发赢iPhone
cbe02017121422110_4184981016263187|//@不吃饭也不瘦斯基:最有感觉的版本。
442c2017121514370_4185229045957127|谢谢你的不忘初心，姐姐很欣慰
c02c2017121506210_4185104253116502|@_明月101010_550
